 #dt   t[ps]   msd [nm^2/ps]   D    sum_D
         382  0.764000058      0.355695963       7.75950924E-02   0.00000000    
         383  0.766000032      0.356051028       7.74697587E-02   0.00000000    
         384  0.768000007      0.356408447       7.73455873E-02   0.00000000    
         385  0.770000041      0.356763899       7.72216171E-02   0.00000000    
         386  0.772000015      0.357125193       7.70995691E-02   0.00000000    
         387  0.774000049      0.357490063       7.69789070E-02   0.00000000    
         388  0.776000023      0.357852250       7.68582970E-02   0.00000000    
         389  0.778000057      0.358209729       7.67372996E-02   0.00000000    
         390  0.780000031      0.358569473       7.66174048E-02   0.00000000    
         391  0.782000065      0.358917207       7.64955655E-02   0.00000000    
         392  0.784000039      0.359267950       7.63749853E-02   0.00000000    
         393  0.786000013      0.359619707       7.62552395E-02   0.00000000    
         394  0.788000047      0.359970361       7.61358589E-02   0.00000000    
         395  0.790000021      0.360323489       7.60176107E-02   0.00000000    
         396  0.792000055      0.360652596       7.58948997E-02   0.00000000    
         397  0.794000030      0.360983104       7.57731125E-02   0.00000000    
         398  0.796000063      0.361309856       7.56511316E-02   0.00000000    
         399  0.798000038      0.361634523       7.55293444E-02   0.00000000    
         400  0.800000012      0.361958146       7.54079446E-02   0.00000000    
         401  0.802000046      0.362272322       7.52851814E-02   0.00000000    
         402  0.804000020      0.362585813       7.51628876E-02   0.00000000    
         403  0.806000054      0.362903625       7.50420988E-02   0.00000000    
         404  0.808000028      0.363221705       7.49219656E-02   0.00000000    
         405  0.810000062      0.363541573       7.48027861E-02   0.00000000    
         406  0.812000036      0.363884985       7.46890306E-02   0.00000000    
         407  0.814000010      0.364233166       7.45768175E-02   0.00000000    
         408  0.816000044      0.364575654       7.44639784E-02   0.00000000    
         409  0.818000019      0.364919960       7.43520707E-02   0.00000000    
         410  0.820000052      0.365254670       7.42387548E-02   0.00000000    
         411  0.822000027      0.365589499       7.41260126E-02   0.00000000    
         412  0.824000061      0.365928650       7.40146935E-02   0.00000000    
         413  0.826000035      0.366272002       7.39047602E-02   0.00000000    
         414  0.828000069      0.366608083       7.37938881E-02   0.00000000    
         415  0.830000043      0.366942167       7.36831576E-02   0.00000000    
         416  0.832000017      0.367253691       7.35684484E-02   0.00000000    
         417  0.834000051      0.367567778       7.34547898E-02   0.00000000    
         418  0.836000025      0.367882729       7.33418465E-02   0.00000000    
         419  0.838000059      0.368202597       7.32304230E-02   0.00000000    
         420  0.840000033      0.368522137       7.31194690E-02   0.00000000    
         421  0.842000067      0.368829280       7.30065778E-02   0.00000000    
         422  0.844000041      0.369137406       7.28944317E-02   0.00000000    
         423  0.846000016      0.369440466       7.27818087E-02   0.00000000    
         424  0.848000050      0.369743556       7.26697221E-02   0.00000000    
         425  0.850000024      0.370049030       7.25586265E-02   0.00000000    
         426  0.852000058      0.370354325       7.24480227E-02   0.00000000    
         427  0.854000032      0.370665550       7.23391026E-02   0.00000000    
         428  0.856000066      0.370975912       7.22305030E-02   0.00000000    
         429  0.858000040      0.371284336       7.21220523E-02   0.00000000    
         430  0.860000014      0.371593207       7.20141903E-02   0.00000000    
         431  0.862000048      0.371901274       7.19066635E-02   0.00000000    
         432  0.864000022      0.372207880       7.17993602E-02   0.00000000    
         433  0.866000056      0.372516185       7.16928765E-02   0.00000000    
         434  0.868000031      0.372821629       7.15863332E-02   0.00000000    
         435  0.870000064      0.373126328       7.14801326E-02   0.00000000    
         436  0.872000039      0.373440772       7.13762864E-02   0.00000000    
         437  0.874000013      0.373745352       7.12710470E-02   0.00000000    
         438  0.876000047      0.374052763       7.11668059E-02   0.00000000    
         439  0.878000021      0.374360025       7.10630268E-02   0.00000000    
         440  0.880000055      0.374666363       7.09595382E-02   0.00000000    
         441  0.882000029      0.374978840       7.08576739E-02   0.00000000    
         442  0.884000063      0.375291049       7.07562268E-02   0.00000000    
         443  0.886000037      0.375602186       7.06550404E-02   0.00000000    
         444  0.888000071      0.375910044       7.05536827E-02   0.00000000    
         445  0.890000045      0.376225382       7.04541877E-02   0.00000000    
         446  0.892000020      0.376539886       7.03549832E-02   0.00000000    
         447  0.894000053      0.376850694       7.02555329E-02   0.00000000    
         448  0.896000028      0.377166122       7.01573864E-02   0.00000000    
         449  0.898000062      0.377486557       7.00606033E-02   0.00000000    
         450  0.900000036      0.377803057       6.99635297E-02   0.00000000    
         451  0.902000070      0.378113657       6.98657855E-02   0.00000000    
         452  0.904000044      0.378422379       6.97681308E-02   0.00000000    
         453  0.906000018      0.378729880       6.96706921E-02   0.00000000    
         454  0.908000052      0.379041374       6.95744008E-02   0.00000000    
         455  0.910000026      0.379353881       6.94787353E-02   0.00000000    
         456  0.912000060      0.379648477       6.93802014E-02   0.00000000    
         457  0.914000034      0.379939198       6.92813993E-02   0.00000000    
         458  0.916000068      0.380229026       6.91828579E-02   0.00000000    
         459  0.918000042      0.380517989       6.90845996E-02   0.00000000    
         460  0.920000017      0.380808204       6.89869970E-02   0.00000000    
         461  0.922000051      0.381098926       6.88898936E-02   0.00000000    
         462  0.924000025      0.381392956       6.87938184E-02   0.00000000    
         463  0.926000059      0.381684124       6.86976463E-02   0.00000000    
         464  0.928000033      0.381972343       6.86013475E-02   0.00000000    
         465  0.930000067      0.382263541       6.85060024E-02   0.00000000    
